id,month,region_type,region_name,country,source,ns,s
1,2019-12-01,GENE,E,China,ENA,0,1
2,2019-12-01,GENE,N,China,ENA,4,1
3,2019-12-01,GENE,ORF1ab,China,ENA,18,2
4,2019-12-01,GENE,S,China,ENA,2,3
5,2020-01-01,GENE,E,China,ENA,0,1
6,2020-01-01,GENE,E,Spain,ENA,0,1
7,2020-01-01,GENE,M,Hong Kong,ENA,0,1
8,2020-01-01,GENE,M,Spain,ENA,0,6
9,2020-01-01,GENE,M,United Kingdom,ENA,9,22
10,2020-01-01,GENE,M,United States,ENA,0,10
11,2020-01-01,GENE,N,China,ENA,6,4
12,2020-01-01,GENE,N,Poland,ENA,10,3
13,2020-01-01,GENE,N,Russian Federation,ENA,9,3
14,2020-01-01,GENE,N,Spain,ENA,24,2
15,2020-01-01,GENE,N,United Kingdom,ENA,671,319
16,2020-01-01,GENE,N,United States,ENA,20,7
17,2020-01-01,GENE,ORF1ab,China,ENA,10,16
18,2020-01-01,GENE,ORF1ab,Germany,ENA,3,4
19,2020-01-01,GENE,ORF1ab,Hong Kong,ENA,0,2
20,2020-01-01,GENE,ORF1ab,Italy,ENA,1,2
21,2020-01-01,GENE,ORF1ab,Not available,ENA,0,52
22,2020-01-01,GENE,ORF1ab,Poland,ENA,22,19
23,2020-01-01,GENE,ORF1ab,Russian Federation,ENA,4,6
24,2020-01-01,GENE,ORF1ab,Spain,ENA,55,27
25,2020-01-01,GENE,ORF1ab,United Kingdom,ENA,493,807
26,2020-01-01,GENE,ORF1ab,United States,ENA,120,106
27,2020-01-01,GENE,ORF3a,United Kingdom,ENA,81,11
28,2020-01-01,GENE,ORF6,United Kingdom,ENA,3,3
29,2020-01-01,GENE,ORF7a,United Kingdom,ENA,17,2
30,2020-01-01,GENE,ORF7b,United States,ENA,0,1
31,2020-01-01,GENE,ORF8,China,ENA,13,1
32,2020-01-01,GENE,ORF8,Russian Federation,ENA,0,3
33,2020-01-01,GENE,ORF8,United Kingdom,ENA,32,2
34,2020-01-01,GENE,ORF8,United States,ENA,43,1
35,2020-01-01,GENE,S,China,ENA,5,1
36,2020-01-01,GENE,S,Hong Kong,ENA,1,1
37,2020-01-01,GENE,S,Poland,ENA,5,1
38,2020-01-01,GENE,S,Spain,ENA,26,1
39,2020-01-01,GENE,S,United Kingdom,ENA,511,43
40,2020-01-01,GENE,S,United States,ENA,39,14
41,2020-02-01,GENE,M,China,ENA,0,1
42,2020-02-01,GENE,M,Spain,ENA,0,1
43,2020-02-01,GENE,N,Australia,ENA,0,36
44,2020-02-01,GENE,N,Canada,ENA,0,4
45,2020-02-01,GENE,N,China,ENA,0,2
46,2020-02-01,GENE,N,Spain,ENA,14,11
47,2020-02-01,GENE,N,United Kingdom,ENA,10,5
48,2020-02-01,GENE,N,United States,ENA,1,1
49,2020-02-01,GENE,ORF10,Japan,ENA,0,2
50,2020-02-01,GENE,ORF1ab,Australia,ENA,49,51
51,2020-02-01,GENE,ORF1ab,Canada,ENA,13,3
52,2020-02-01,GENE,ORF1ab,China,ENA,11,16
53,2020-02-01,GENE,ORF1ab,Japan,ENA,11,2
54,2020-02-01,GENE,ORF1ab,Spain,ENA,29,21
55,2020-02-01,GENE,ORF1ab,United Kingdom,ENA,8,22
56,2020-02-01,GENE,ORF1ab,United States,ENA,18,14
57,2020-02-01,GENE,ORF3a,China,ENA,0,1
58,2020-02-01,GENE,ORF3a,Japan,ENA,0,1
59,2020-02-01,GENE,ORF3a,United Kingdom,ENA,0,1
60,2020-02-01,GENE,ORF7a,China,ENA,0,1
61,2020-02-01,GENE,ORF7a,United States,ENA,0,1
62,2020-02-01,GENE,ORF8,United Kingdom,ENA,2,2
63,2020-02-01,GENE,S,China,ENA,3,3
64,2020-02-01,GENE,S,United Kingdom,ENA,8,2
65,2020-02-01,GENE,S,United States,ENA,0,1
66,2020-03-01,GENE,E,Spain,ENA,24,21
67,2020-03-01,GENE,E,United Kingdom,ENA,9,2
68,2020-03-01,GENE,E,United States,ENA,7,15
